,trackName,artistName,numPlays,URI,valence,tempo,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness
1,Suttin,Tee Peters,41,spotify:track:4HeM8rZit0bMegXEGJ1Bp4,0.741,79.999,0.398,0.792,169500,0.457,0,8,0.149,-12.039,0.14
2,Love Affair,UMI,35,spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ,0.183,172.076,0.129,0.613,190960,0.488,2.13E-05,8,0.335,-7.37,0.0964
3,Over the Moon,The Marías,35,spotify:track:02wNtFxlr9dLmZXKT5TIF5,0.387,73.518,0.86,0.684,182900,0.232,0.404,0,0.135,-13.249,0.0297
4,The Ex,Billy Talent,32,spotify:track:1iT25vbTtfYuC6KrK4vSEx,0.588,161.934,0.00237,0.441,159693,0.877,0,6,0.358,-9.484,0.0897
5,Natural,L.A.B.,31,spotify:track:3uMewMD8hz7pCWnpgC10ay,0.686,80.983,0.0784,0.845,220440,0.347,0.00158,4,0.0971,-9.23,0.0452
6,HIT EM WHERE IT HURTS,PawPaw Rod,30,spotify:track:6UVxCRDAXLjz95fs5bl7Xr,0.822,178.046,0.123,0.78,165499,0.721,0.00249,6,0.0779,-6.371,0.214
7,Hell N Back,Bakar,29,spotify:track:6xxG3HbexOhJKyiLmtUPhT,0.725,209.688,0.314,0.633,213573,0.684,8.95E-05,10,0.112,-4.314,0.591
8,Stella Brown,Jelani Aryeh,29,spotify:track:6mNNt5QHcWvRgxwgLGzsXK,0.553,125.009,0.273,0.733,186325,0.481,0.0739,2,0.287,-7.554,0.0347
9,Malibu 1992,COIN,27,spotify:track:0VGyn5TrmY6oq05Ynj63Hz,0.504,147.47,0.0603,0.55,341333,0.323,0.0767,6,0.142,-7.769,0.0422
10,Better Than,Lake Street Dive,26,spotify:track:0MH2fBfdoOl17OSbmrwClC,0.406,77.576,0.629,0.789,215880,0.283,0.0134,0,0.097,-11.679,0.0354
11,Good News,Mac Miller,26,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,0.241,174.088,0.853,0.794,342040,0.32,0.134,1,0.112,-12.92,0.173
12,Why,Dominic Fike,26,spotify:track:1TLlzj0uSsGVCQLLncqBIb,0.349,116.994,0.346,0.694,139907,0.852,0.00886,6,0.109,-2.678,0.0408
13,Ode to Viceroy,Mac DeMarco,24,spotify:track:6WZjjf4mKurHPC5BhdGwet,0.31,94.562,0.208,0.515,233818,0.633,0.014,2,0.115,-6.305,0.05
14,Give Me Something To Do,Good Morning,24,spotify:track:3C9r0AyWSRd740XAFltKNx,0.439,100.484,0.263,0.348,246125,0.768,0.848,2,0.457,-6.801,0.0514
15,White Winter Hymnal,Fleet Foxes,23,spotify:track:0GegHVxeozw3rdjte45Bfx,0.68,124.932,0.44,0.628,147027,0.5,0,6,0.244,-9.66,0.0268
16,River,Leon Bridges,23,spotify:track:3hhbDnFUb2bicI2df6VurK,0.177,128.424,0.665,0.635,240200,0.184,0,8,0.146,-10.785,0.0456
17,Nostalgia,Alice Phoebe Lou,23,spotify:track:2Zzu0xvM9FNTOi2jNdS8Qg,0.111,77.02,0.692,0.339,197950,0.256,0,9,0.243,-8.731,0.0359
18,barcelona boots,Arlie,23,spotify:track:1VpcATIL1OzUeiBqqqSTtV,0.599,144.899,0.287,0.587,227987,0.695,0,10,0.104,-3.584,0.071
19,Let's Be Still,The Head And The Heart,23,spotify:track:3QmzlL0tTtDgD1Hwfct68D,0.563,131.18,0.674,0.638,268347,0.411,0.00357,9,0.106,-10.724,0.0277
20,Kick It to Me,Sammy Rae & The Friends,22,spotify:track:6QZbDUZEgkwaVWROtWzjQ0,0.823,160.057,0.533,0.597,387600,0.675,1.45E-05,2,0.168,-6.431,0.0569
21,Inside Friend (feat. John Mayer),Leon Bridges,22,spotify:track:4ehkZtzPTbjsRULRfQSWYu,0.361,88.972,0.448,0.693,175432,0.259,0.000135,1,0.0995,-7.918,0.0372
22,Lockdown,Anderson .Paak,22,spotify:track:5oZps6mYqU5s7A4WjUZggJ,0.496,100.056,0.144,0.928,212613,0.437,0.000357,1,0.147,-7.081,0.127
23,Blue World,Mac Miller,22,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,0.508,84.931,0.389,0.742,209440,0.553,0,8,0.0694,-8.98,0.419
24,Groceries,Mallrat,22,spotify:track:3II5NhDhjzIessLfaSjPQn,0.186,115.983,0.13,0.686,217285,0.539,1.94E-05,0,0.116,-8.623,0.0348
25,Patience,The Lumineers,22,spotify:track:5ONbCAFFnAJ0YGClEeddcU,0.0982,138.361,0.973,0.477,97051,0.236,0.922,4,0.108,-16.991,0.0458
26,Outside,Kota the Friend,22,spotify:track:2i40wZkiPAGIFudrGH99nx,0.6,99.989,0.342,0.86,203794,0.749,0,1,0.446,-6.556,0.0905
27,Kilby Girl,The Backseat Lovers,21,spotify:track:1170VohRSx6GwE6QDCHPPH,0.225,162.279,0.0578,0.329,282206,0.444,0.0352,1,0.113,-9.973,0.0417
28,Hush - Still Woozy Remix,The Marías,21,spotify:track:4dGuRldChjvboZktprNJFM,0.564,103.999,0.403,0.708,182347,0.554,0.0428,10,0.126,-6.83,0.0311
29,Like Real People Do,Hozier,21,spotify:track:7K6LFPfjdnN6QqvGzhvpRO,0.145,139.941,0.921,0.54,198027,0.178,0.377,7,0.106,-14.33,0.0308
30,Isn't This A Lovely Day?,Ella Fitzgerald,20,spotify:track:7paEvsQ08LWCV8Agvo9CWa,0.185,82.97,0.929,0.499,377333,0.0533,0,9,0.0942,-18.771,0.0477
31,The Spins,Mac Miller,20,spotify:track:51pshtuYkgUQnt5huMPbKL,0.55,127.007,0.0135,0.794,195873,0.766,0,9,0.0785,-3.894,0.0377
32,Aphasia,Pinegrove,20,spotify:track:4Mve2PSQqMtVn5DemVoBYr,0.36,66.793,0.769,0.309,270933,0.481,7.37E-06,6,0.235,-7.994,0.0432
33,The Breeze,Dr. Dog,20,spotify:track:2nkPVfTBJrDkLJnA8JJKcO,0.318,90.136,0.774,0.61,239093,0.547,2.05E-05,9,0.635,-7.796,0.0338
34,A-O-K,Tai Verdes,20,spotify:track:2xdSF7JRootmerTeradyGb,0.812,82.496,0.145,0.73,171880,0.643,0,11,0.148,-6.51,0.0834
35,What's the Use?,Mac Miller,19,spotify:track:2dgrYdgguVZKeCsrVb9XEs,0.561,104.974,0.736,0.759,288640,0.492,0.00989,1,0.107,-10.338,0.12
36,Make It Better (feat. Smokey Robinson),Anderson .Paak,19,spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr,0.551,178.555,0.0112,0.676,219332,0.56,0.00403,4,0.137,-6.024,0.0643
37,Daydreaming,Izzy Kaye,18,spotify:track:1E9FXqfYfR3eUgNpdBowz1,0.482,85.029,0.364,0.755,193718,0.406,0.00397,4,0.0818,-8.152,0.0411
38,Cats,Macseal,18,spotify:track:0Sz9cETbT6N4Pe33xvyHwC,0.568,99.996,0.00171,0.676,206837,0.763,0.00219,0,0.0981,-7.582,0.0312
39,Nunca vas a comprender,Rita Payés,18,spotify:track:1kWHr6CiRCLFIDy0JCOn0K,0.623,130.92,0.908,0.677,244632,0.285,0.0263,1,0.117,-13.394,0.0364
40,Your Girl,Grace Potter,18,spotify:track:1givz1xKpJuyA5cdiIrQcH,0.7,110.873,0.254,0.811,218760,0.572,0.000217,0,0.11,-6.664,0.17
41,Dave,Mac DeMarco,18,spotify:track:3eKZgh7jfBiXBLvt3vvFbx,0.122,118.638,0.807,0.621,225013,0.192,0.842,9,0.0693,-14.623,0.0745
42,Misty Morning,Lawrence,18,spotify:track:6LqZFfv4fUP7va14Y6VW9a,0.412,167.845,0.429,0.63,252027,0.387,0.00112,0,0.112,-10.009,0.114
43,It's Not All About You,Lawrence,17,spotify:track:1oRACEX7ci9IrxsbxfvAsw,0.792,104.005,0.177,0.717,151320,0.795,0,2,0.261,-2.469,0.0825
44,3 on E,Vulfpeck,17,spotify:track:69rFDYwypeey2F9cDEL3da,0.917,98.273,0.0428,0.782,177792,0.825,0.378,11,0.1,-8.605,0.0436
45,Good Day,Twenty One Pilots,17,spotify:track:3uwYgNxFDfx1GoLB6tLoUn,0.37,142.048,0.11,0.684,204401,0.677,0.00975,7,0.34,-7.355,0.0401
46,Supalonely,BENEE,17,spotify:track:6CSxLzgStCDVgYdhjYMWqK,0.823,128.993,0.359,0.842,224000,0.661,1.09E-05,7,0.0996,-4.612,0.0495
47,Soul No. 5,Caroline Rose,17,spotify:track:5ul9f8dlq1SVgzhIl9bMZG,0.385,159.571,4.66E-05,0.453,189949,0.803,0.0655,2,0.0674,-4.768,0.0445
48,Frankie,One11Twenty,17,spotify:track:3mh3vwN8Pw9gMMsDSxe4Gl,0.833,105.962,0.173,0.827,217500,0.552,0.00355,6,0.099,-7.915,0.0347
49,Keep It,Good Morning,17,spotify:track:59eNpXrGWvIgLlb9JaiMRK,0.647,103.917,0.682,0.574,158447,0.375,0.377,7,0.104,-13.497,0.0274
50,Maple Syrup,The Backseat Lovers,16,spotify:track:6PGu7ktrPnVi8v2y9ltQZn,0.384,153,0.0447,0.543,243529,0.526,0.0533,2,0.0778,-9.703,0.0582
51,Talk It Up,Sammy Rae & The Friends,16,spotify:track:7FQCZ5i5bmQ76LoGHyVcX0,0.674,112.716,0.593,0.524,238480,0.733,0,7,0.0931,-4.669,0.0938
52,Rango II,Vulfpeck,16,spotify:track:0JcjupySdUvwYNV7DDkbwU,0.44,76.346,0.705,0.761,251367,0.252,0.926,0,0.199,-11.605,0.0452
53,Vines,Hippo Campus,16,spotify:track:448V07W0zPY7ep7Dtc9Ukm,0.661,105.991,0.482,0.672,159057,0.788,0,0,0.084,-5.5,0.0417
54,Paper Castles,Alice Phoebe Lou,15,spotify:track:2JFfT3sclwMVvAtBhiQaFl,0.215,83.893,0.214,0.571,234872,0.407,0.0622,5,0.119,-9.097,0.0415
55,Baby Blue (feat. Chance the Rapper),Action Bronson,15,spotify:track:7gDwRzJhLs0fFHaGtMDJVM,0.761,85.027,0.247,0.828,280160,0.487,1.86E-05,6,0.136,-6.142,0.0343
56,Superficial,Lawrence,15,spotify:track:53Ovg1HwKuT3paJ2fZb7XL,0.186,151.86,0.212,0.282,248293,0.398,6.35E-06,2,0.0541,-7.372,0.0365
57,April,Beach Bunny,15,spotify:track:7l94AyvXRwnQgKccUU3PRN,0.745,118.043,0.000299,0.549,198419,0.836,0.0603,9,0.197,-3.261,0.032
58,Old Friends,Pinegrove,15,spotify:track:4ykQ18swXrkrrbwsZKxQo7,0.375,147.361,0.41,0.492,207720,0.555,0,4,0.494,-7.315,0.0397
59,23,Wallice,15,spotify:track:4zuX9LsnSm9oTLaxvkepnZ,0.614,133.686,0.22,0.576,164782,0.597,0,5,0.0914,-4.974,0.0391
60,Warned You,Good Morning,14,spotify:track:3GahMRXI3rL2JVeSLZBRnF,0.515,137.889,0.668,0.535,136033,0.209,0.14,6,0.129,-16.402,0.0257
61,Something Holy,Alice Phoebe Lou,14,spotify:track:6IQvJIGro93DbNkSUylVLI,0.294,131.734,0.284,0.411,286172,0.47,1.53E-06,9,0.0765,-6.821,0.032
62,The Weekend,Modern Baseball,14,spotify:track:1BCMfxB7baD3UuLv0KCqdS,0.63,119.067,0.0166,0.668,210250,0.786,1.61E-06,8,0.326,-6.751,0.0418
63,Ruthless,The Marías,14,spotify:track:1mbuSss0OVqfS00y7yCNCZ,0.557,105.003,0.71,0.672,247455,0.436,0.147,9,0.117,-11.743,0.0326
64,Wait for the Moment,Vulfpeck,14,spotify:track:48wH8bAxvBJO2l14GmNLz7,0.681,79.207,0.501,0.773,230677,0.36,0.00409,0,0.0823,-9.722,0.0955
65,I Want You Back,Lake Street Dive,14,spotify:track:0wmA7hbNSEGrrNggty5S3k,0.536,119.43,0.11,0.767,259267,0.318,1.79E-05,2,0.0483,-8.932,0.067
66,Glitter,BENEE,14,spotify:track:2CxUR73LVGf8cwn3RzTwR0,0.58,116.932,0.0862,0.801,180147,0.589,0,7,0.162,-5.157,0.0484
67,The Feeling,Sammy Rae & The Friends,14,spotify:track:0dmCos7GHCr5PRKp5LNGH7,0.761,127.059,0.523,0.716,236213,0.708,0,5,0.0886,-4.978,0.0712
68,Calling U Back,The Marías,14,spotify:track:5WVWQQpBJqljbZtxo19CxS,0.448,116.798,0.385,0.731,199907,0.515,0.00216,0,0.236,-7.584,0.122
69,Daydreamer,Adele,13,spotify:track:1JZkTZEXkLvkR2oQ9PSKuO,0.372,109.014,0.964,0.807,220507,0.105,0,9,0.103,-13.188,0.0412
70,I Love You So,The Walters,13,spotify:track:6Q29Trn73CBRUd1W2yFBLY,0.466,75.977,0.583,0.575,160240,0.648,0,10,0.115,-4.891,0.0358
71,Cough Syrup,Young the Giant,13,spotify:track:4Tfe8Uu9faFdWRiZbpvpXd,0.225,128.978,0.0343,0.534,249520,0.721,6.24E-06,11,0.115,-7.307,0.0417
72,Death with Dignity,Sufjan Stevens,13,spotify:track:73uJybGAhwGRD9MZYrOmTY,0.395,169.898,0.986,0.514,239508,0.16,0.0176,4,0.113,-21.04,0.0383
73,Do You Wanna Do Nothing with Me?,Lawrence,13,spotify:track:2M7UdnD0fEaryh8TnCvqFX,0.725,201.985,0.17,0.548,251853,0.611,0.00247,1,0.0762,-9,0.131
74,California,The Lagoons,13,spotify:track:1fXPugvxpg6HiM0w3ZCPXL,0.536,120.004,0.27,0.785,261773,0.687,0.662,4,0.0417,-7.2,0.0288
